emotion_label,processed_text,encoded_label
neutral,me and my friends after seeing that random girl on street,4
surprised,"when you sleeping on 31st night, but you suddenly remeber to wake up",3
sad,mom: eraaa yedhava cls lo needhe last rank antaga ,9
sad,me: ndhuku mummy malli gurthuchesi badhapedathav,9
sad,"me going to home, when i get less marks in exams",9
disgust,aunty ma bf ni vadileyandi ,1
disgust,nuvve vadiley ni bf ni ,1
confused,when i thought my friend is topper,8
confused,after seeing his true nature: veedu nakante vedhavala unade,8
heroism,my frnd who send the whole movie as a snap,5
angry,my frnd when i don't give him money: aee tsunami oo ochi nuvvu kottukupovaliraaa,2
angry,my frnd: ayithee eesari kooda chesey ,2
angry,me: entra mowaa ala antav chi chi ennii sarlu help chesara neeku,2
angry,rey bike keys itu iyyi ,2
angry,nen ediki potle,2
neutral,emi's,4
neutral,when salary credited,4
surprised,maths teacher: enthaku teginchraa meeru,3
surprised,"dr. jayakrishna simha, ba, ma, m.phil, fff, sex specalist laa undhi. jaya krishna simha short gaa undhi ani, aa chettha anta lepi mani cheppanu",3
surprised,neney teesi mani cheppa,3
surprised,"rey, nuvvu evadivira, avi lepi mandaniki",3
surprised,enti arya ekkadiki veltunnav ani adigi nanduku ,3
surprised,pikesi: igo ni pilli gaddam,3
surprised,asalu niku ee pilli gaddam enduku ra ,3
wonder,me: idhi just sample aeee ,7
wonder,me: mundhu undhu musallaaa pandagaaa!,7
angry,my dad giving warning to me to not go out on dec 31st night,2
angry,me: meeru mari antha harsha decisions teskokandi nanna,2
angry,arey kamal veediki mastu sex picchi ra ,2
surprised,my best friend after knowing that i have a girlfriend ,3
neutral,"paata baagundhi, kaani konni talaalu, gamakaalu, inka baaga undaali",4
neutral,her inner dialouge: aithey nuvvu vacchi paadi choopinchu,4
neutral,"in special occasions, when a girl sings a song, principle",4
angry,me after seeing my frnd with his girlfriend: rey nee sangathi room ki raraaaa chepthaaaa,2
angry,me: eraa pottoda neeku undhiraaaa,2
surprised,"chowdary, justice chowdary",3
surprised,evaru meeru..?,3
surprised,"rey, appigaa. nuvva, inka evado anukunnanu raa",3
surprised,"me to my friend: arrey thuppas yedhava, ivala madhyanam party isthaa ani cheppi. ivala college ki raakunda untaava",3
disgust,"when i got salary on 1st, all my emi's, house rents and everything",1
happy,when ever i open my phone notifications,0
happy,that one guys snap all the time be like: ,0
heroism,me with junior in clg,5
heroism,neeku emanna kavali ante manaki call chesey nenu chusukunta ,5
heroism,manadhe idhantha,5
confused,na crush ki ppt vesi mari nenu enduku aa pilla ki correct ani explain chesthuna,8
heroism,emii rani me during seminar,5
happy,try cheyali kani chala mandhi padtharu mama neeku,0
happy,that hopeless romantic friend,0
heroism,me: ippatike ne maata vini shed ayya nenu inka vinanu nenu ,5
heroism,my frnd: rey mama naa maata vinara eesarii ,5
fearful,complaint chesina me: ayyooo sir nenu meedha ndhuku complaint chestha cheppandi!,6
fearful,teacher: eraa nuvena naa meedha complaint chesindhi principal ki?,6
fearful,telusugaa meerante naku entha istamooo,6
neutral,after drinking: ade nannu chuskundhi,4
neutral,"babai oo 90 tesukoni ra, ade neno chuskundam ",4
sad,me when mom calling me to eat after beating me in childhood ,9
surprised,"maa vaadu hero, asalu vaadi mundu evadu panikiraadu ",3
surprised,me giving hype to frnd infront of his crush ,3
surprised,me looking at my crush and admiring her : intha andaga ela unnave nuvvu ,3
neutral,my team member: naa face aee intha!,4
neutral,me: navvithe nee asthi em karigipodhuga,4
neutral,me: konchem navvocchuga,4
neutral,me to my team member:ndhuku ala eppudu serious face pettukuni work chesukuntav? ,4
surprised,my friend: entraa idhi!!,3
surprised,"on exam day, when my friend saw my youtube history, that i covered all the topics from youtube",3
surprised,"me: emo raa, naaku telidhu",3
surprised,"my friend: nijam cheppu raa, motham chadivesaava ledhaa, nijam cheppu",3
happy,my school crush distributing chocolates to everyone on her bday,0
happy,me who is waiting with shy to say happy birthday ,0
neutral,"rey aa ammayi phonenumber kanukko, break iddham",4
neutral,"when a random says 'hi' to me, then immediately to my friend",4
wonder,"sir mi antha manchivadini,andhagadini",7
wonder,miru asalu super anthe,7
wonder,edi chala over ra rey,7
wonder,"nenu asalu eppudu,ekkada chudaledu",7
disgust,my with my books during school days ,1
fearful,my frnd: ee yedhava nannu kooda irikkinchesadu,6
fearful,when lecturer caught me while copying: sir veedu kooda copy kottinduuu vadini kooda kooda pattukondi saarrr!!,6
heroism,manalni evvarra aapedhi ,5
heroism,manaki oo baasha flash back undhi telusa,5
surprised,"endanna, nuvvu kooda, collare pattukunnav, adigithey cheppevadini gaa",3
surprised,"rey, kooli naa kodaka saruku eda undhi raa",3
neutral,ippudu andaru vallu thala dinchukunela chesaadu. manchi job tecchukunnadu,4
neutral,"my dad about me: ayyadamma, ayyadu, okappudu andari mundhu thala dhinchaadu",4
heroism,my frnd: kathi pattukuna kathila unnav mowaaaaa,5
heroism,me killing enemies with knife in bgmi ,5
wonder,emaindhe naku ,7
wonder,"miru chani pothe, manavadu magic chesi brathikinchadu andi",7
heroism,me during our ooru jatharaaaa,5
neutral,uncle: navvuthunav ante inka raaledhu anamata ,4
neutral,"uncle: bane unnara abbayi, inthaki job ochindha?",4
neutral,me: anavasaranga kekila mimalnii,4
neutral,me in family function: hello! uncle ela unnaru,4
surprised,kadupu mantatho kali pothunna my friend after listening that i passed in all exams,3
neutral,dad: idhigo ee 10rs unchukoo,4
neutral,dad: inkentha kavaliraaa neeku,4
neutral,dad: enti money kavaala,4
neutral,me: 10rs ki pallilu kooda raavu daddy,4
neutral,dad: odhilithe naa asthi antha thineselaga unnavga,4
neutral,dad: muskuni padha ikkadanunchi,4
sad,me after continuous night shifts ,9
disgust,"ledu anduke, ninnu pelli cheskunta antundhi",1
disgust,asalu ni mokam addam lo chusu kunnava ,1
disgust,nuvvu nannu matrame pelli chesukovali ,1
happy,when introvert starts dancing,0
surprised,ra ala thupalloki elli matladu kundam,3
surprised,twaragane aipoyidhi gani,3
disgust,adhi cheyadam tappa inkoti radhu kabatti ,1
disgust,sir miru endhuku over action chestunnaru ,1
disgust,ee bokka kuda undha veediki ,1
neutral,"newly married wife to husband: intlo panchadaara ledhu ani, upputho tea chesaanu. ela undho cheppandi!!",4
surprised,my expression: em chesthunnaraa baabu,3
surprised,me enjoying my class girls dance on the stage,3
neutral,dad: battalu sardhukuni intlo nunchi bayataki vellipo nuvvu,4
neutral,dad: bandi apara,4
neutral,me: potha kosthe aksharam mukka radhu nee busniess aah,4
neutral,me: nee kallu mokkutha daddy edho urike anna musknu job chesukunta,4
neutral,me: daddy ee job lu ivannii naa valla avvavvu naa asthi naaku isthe edhoka business chesukunta nenu,4
neutral,me: ndhuku daddy,4
angry,my two friends fighting in sitting after two pegs be like ,2
disgust,mana mokalu chustene telisi pothundhi,1
disgust,rey akkada em jarigindho evvariki cheppaku,1
disgust,manam cheppal sina avusaram ledu ,1
heroism,me and my frnds after with zero contribution in the project ,5
confused,me to my friend: arey na money appudu esthav ra,8
confused,neeku echa chudu na budhi thakuva ra,8
disgust,when girls got 1 mark less for 100,1
neutral,neeku baaga extralu ekkuvayyayi nee sanagthi cheptha,4
neutral,my lecturer spotting in group: eraa nuvvu leguvuuuu,4
neutral,me calling relatives with my new phone number,4
happy,me telling my love story with all my group after drinking,0
neutral,when my girl sends view once pic and there is nothing in that,4
sad,mom: fafam naa bidda entha kastapaduthunadooo!!,9
sad,me explaining my food kastalu and room kastalu in hostel to mom:,9
neutral,"me enjoyed party at 31st of december and asked my friend to pay the bill
his reaction:",4
heroism,me dreaming about with my kids in jaareduballaaa!!,5
sad,entha cheppina enduku vinaledu ra ,9
sad,ippu chudu em ayyindho,9
heroism,"me sitting in the annual day, when our school principal sir is coming",5
neutral,me with my cr: thans raaa mowaa memu cls ki rakapoyina maaku attendance vesinandhuku,4
neutral,cr: nenu unnara meeku nenu chusukunta,4
surprised,intha style gaa unnadu ,3
surprised,when someone see my friend for the first time: evadra veedu,3
wonder,my frnd: mowaa fail ayyara intlo result ela chupiyanu,7
wonder,my frnd: nuvvu thopu raa mowaaaa!,7
wonder,"me: naa laaga grades marchey mowaaa, tarvtha supply fees kattey ",7
happy,me: mari nee laaga thini potta penchamantava,0
happy,my friend to me: eraa enti gym ki velthunav antaga?,0
angry,elder bro in every family,2
wonder,rey santhakam chey ra ,7
wonder,elimudra batch me.......,7
neutral,"my singing: nara naaney, nara naaney, nara naaney naaney naina, nara naaney, nara naaney, nara naaney naina,",4
sad,me next day after eating pani puris without stopping,9
neutral,indolam sir,4
neutral,"indolam ante, sa. aree gaa maa",4
neutral,nuvvu paadindhi a raagam thalli,4
sad,ninnuu clg lo join chesa chudu naadhi thappu,9
sad,my dad after seeing my grades: ee grades entra asaluuu,9
happy,my introvert friend after drinking be like :,0
angry,inko sari vadiki line esthe aa inko kannu kuda undadhu,2
angry,invigilator: fafam urgent emoo boy ki,2
angry,invigilator: ichesi parigedathaventra!,2
angry,me with invigilator who didn't allow me to toilet: sir idhigondi mee paper teeskondi,2
happy,me after clearing all the subjects ,0
wonder,my frnd: nene mowa ninna kelika code ,7
wonder,me: orey yedhava asalu code ni ndhuku kelikavraaaa!!,7
wonder,me: ayipoyindhi mowa code run avvatle manager champesthadu,7
heroism,dad: entra overaction chesthunav,5
heroism,me: ivalti nunchi nanu ela thidatharoo nenu chusthaaaa,5
heroism,me: ndhukante nenu btech pass ayipoyaaa,5
wonder,sher ,7
wonder,sher vachhadu chudu,7
happy,"when my friend sees a random beautiful girl, ",0
happy,evandi oka saari mee phone number isthaara. just rojuki 10 times maatramey phone chesthaa,0
surprised,ikkadi nunchi jump ra babu,3
surprised,"that one kind, when i find him alone: aipoynav ra eyala",3
sad,me explaining about my daridram to hr ,9
neutral,me: vallu adigindi adi kadu kada ra,4
neutral,friend: nuvu agu ra babu nenu chepthuna kada,4
neutral,my friend trying to cover the questions asked during presentation,4
happy,my friend trying to impress his crush with his dance,0
surprised,dhaaniki inka time undhi gaa,3
surprised,neeku mundhey vacchesindhi,3
surprised,happy deepavali,3
happy,me playing with my akka pillaluuuu!,0
angry,my frnd keeping saapalu when we play with him ,2
sad,"father: family tho paatu vellentha dabbulu levamma, ee saariki ott lo chooseddham",9
sad,daughter: nanna mana family antha pushpa-2 movie ki veldhamaa,9
happy,me with my female friend: nuv ela navvuthavo telsa?,0
happy,me: eroju night dhani alago ala dacheyali,0
happy,akka koduku na action figure teskunadu bro,0
angry,"me: era nuvvu raasthey saripothundhaa, memu exam rayaddha,",2
angry,my topper friend after writing the exam quickly,2
angry,"macha, inka veldhaama, baitaki",2
sad,"in 2020, when lockdown was extended: malli lockdown extend chesarentra baabu",9
angry,theta friend: servent gadu vachadu roi,2
angry,cr: class bunk cheyadu ra,2
happy,me: naaku bmw bike kavali,0
happy,me with my mom: eesari anni subjects pass ayipoya mummy,0
angry,ivala college ki raakunda untaava,2
angry,"me to my friend: arrey thuppas yedhava, ivala madhyanam party isthaa ani cheppi.",2
disgust,me: enti matter oo cheppu em kavali,1
disgust,girl friend: ivela bale cute unnavraaa,1
disgust,she: nannu ala movie teeskekllochugaaaa,1
heroism,me with my senior: kottadaniki pampincha antaru enti kottindhe neu ayithe ,5
wonder,"nenu munigina, vadini munchesta",7
wonder,me hiding my friends home work:,7
sad,business pettukunta dabbulu ivvu daddy!,9
sad,frustrated me with my dad after failing btech: daddy ee chaduvulu annii  naa valla kadhu,9
surprised,"me: povai,povai, annadey auto apparo, pi pi pi annadey scooter subbarao...",3
surprised,"everyone enjoying family party, with neat and pleasant dresses",3
neutral,"entamma idhi, naa meedha murder plan chesthunnava",4
neutral,"when my sister prepare food, and gave it to me taste it, my reaction",4
neutral,mean while my frnd edits,4
neutral,my frnd : i am a great editor ra,4
angry,my dad,2
angry,when i loose 2 lakhs in cricket betting,2
happy,my friend's planning on 31st night in the pub,0
confused,dad: idhigoraa ee 500 teesukuni pandagaki battalu konukkoooo ,8
confused,me: veetiki underwear kooda radhu daddy!,8
neutral,police: padha police van ekkuuuu,4
neutral,police: nuvu baa ekkuva chesthunav,4
neutral,me: sports bike ikkada aah matram speed vellara,4
neutral,me: ayina mee 100 meeku istha nannu odhileyandi,4
neutral,police to me: ndhuku fast drive chesthunav?,4
neutral,me: evari meedha cheyii vesthunavo telsaa,4
fearful,my friends after getting  dslr,6
fearful,rey anni poses lo tiyyi ra ,6
fearful,rey intha mosam chestava,6
fearful,nenu ekkada chesa mawa nuvve mosa poyav,6
heroism,me seeing my favorite hero's newly released movie trailer,5
heroism,"help cheddam ani vaste, dini balupu idi",5
heroism,"oriniyamma, diniki sahayam cheyadam kuda bokke",5
heroism,mam its an big issue,5
heroism,"naku chala panlu unnay, vellandi",5
neutral,girl: meeku ee library lo membership undaa,4
neutral,"hero: eppati nuncho, regular gaa ee library key vasthaanu",4
happy,me giving birthday party to friends,0
happy,frustrated me: chepandi ra motham hotel lo unna items motham chepandi,0
happy,friend 2: naku oka prawns and mutton biriyani,0
happy,friend 3: naku raagi mudha with mutton curry and ulavacharu biriyani,0
neutral,me: edi thappu motham thappu thappu ga chesthunaru meeru,4
neutral,when ur grandma gave money to sister but not you,4
wonder,me with my friend: ndhukuraa nenate intha prema neeku naa meedha gudilo archana cheyinchav,7
neutral,my idiot friends: rey adusthundu veedu,4
neutral,me being emotional during movie,4
happy,me planning with frnds how to escape from class by saying kadupulo noppi,0
confused,"me and my frnd during ipl
rcb fan me: evadraaa nuvvuuu maa team ani anadaniki",8
confused,csk fan my frnd: antaraa em chesthav ippudu!,8
neutral,me: veedu nannu vadhalada,4
neutral,me and my boku friend joined in same college and same company,4
neutral,police: avnaa sp gaaru ikkade unnaru raa matladudhuganu,4
neutral,police: raaa pakkaki raa,4
neutral,police to me: license undha?,4
neutral,me: enti sir ala antaru edho casual ga annam,4
neutral,me: maa babai sp,4
neutral,me: ledhu,4
heroism,my laddu frnd after wearing kothaga kuttinchina uniform for the first time,5
neutral,thammudu cricket vacha?,4
happy,padha nannu adukundham manam,0
happy,me with my sister: ndhuku akkaa danini ala antav ,0
happy,after after listening to my crush fantasies ,0
happy,my frnd: mee daddy deggara ninnu erikinchaga neeku undhile ippudu ,0
happy,me: nuvu rathri thagi mee daddy thittindhi video theesi already ma nanna ki pettesa!,0
wonder,ni kosam soraina avutha,7
wonder,ni kosam era aina avutha ,7
neutral,"when it's month starting, my friend get his salary credited, his reaction",4
happy,"when a random beautiful girl proposes to my friend, his reaction",0
neutral,dad to me after getting govn job: ninnu chusthe chala garvam ga undi ra shabash beta,4
neutral,my cousins: vellali thappadhu malli next holidays ki ochestha nee kosam,4
neutral,me with cousins after holidays: appude vellipokandi,4
surprised,akkada ela pettav ra,3
wonder,dhoola me: daddy ala mee car veskelli chinna patch pettesa,7
wonder,me: urike ala chinna trial esaa daddy ochidho radhoo ani ,7
wonder,dad: asalu driving raakunda car ndhuku teesavraaa,7
angry,csk fan: ee saala cup namdey ani cheppukodam kaadhu raa. ,2
angry,csk fan: dhammunte maalaaga kotti choopinchadni!!,2
angry,chitka kottudu kottali sindhe,2
angry,vidini erou vadelede ledu ,2
disgust,"my situation after one round of jogging be like:
inka enduku le podam intloki",1
disgust,evaru chudaka mundhe povali ,1
wonder,"when i ask money my father be like:
enti nanna niku paisal kavala",7
wonder,poyi tenchuko po,7
wonder,nenu nilabadi chusta chetulu kattukoni,7
wonder,mana intlo chettu pettinam ga ,7
neutral,my brain: 2 times squad ki dorikina siggu ledha yedavaki,4
neutral,"me to my heart: repu exam undhi ga, padha slips ready chesukundham",4
wonder,naku emaina telusa enti naku kuda em teliyadu sir,7
wonder,"when some one broke class board:
nakem teliyadu andi ",7
neutral,gold medal techestha olympics lo permission sithe,4
neutral,me to me: evadraa babu intha andhamga unnadu,4
neutral,me looking into the mirror,4
fearful,agu chudaniyyi,6
fearful,na kallalo em kani pisthundho cheppu,6
fearful,nallaga barre kanlu unnatu unnay,6
neutral,my frnd when he see new juniors in clg ,4
confused,me with no choice listening to his kathalu ,8
confused,"my friend, saying kathalu ",8
confused,me with my tatha for pension dabbulu: tatha gariki pranamalu ,8
disgust,sir chevulu musukondi,1
disgust,nijamera entha prashan thanga undho ,1
angry,"me: evadraaa frnd neeku, pakkaki poo",2
angry,avasaram untene msg chese frnd: rey mowa manam frnds kadhara ,2
neutral,me and my bros discussing abt that pink saree ammai that we saw in metro,4
happy,yesssssss,0
happy,vadu naante unnadu ,0
disgust,"enti sir, entha sepu wait cheyali asalu ",1
disgust,"nannu matladincha kandi, ganta nunchi opika padutunna",1
heroism,me and my friends when teacher asks evadra allari chesindhiii!,5
sad,my swathi muthyam frnd when we crack jokes on him ,9
angry,friend cover istha ante rush chesi knock ayina me: ninnu nammukuni rush chesa chudu naa budhi thakkuva,2
surprised,my frnd: velluu velluuu velliii plate lu kadugu,3
surprised,me after getting us viva ,3
wonder,manaki antha scene ledhu ikkada ,7
wonder,me: hey naa nunchi chala expect chesthunav nuvvu ,7
wonder,sister: annayya oka 10k arrange cheyochugaa trip ki velosthaaa,7
confused,me: sir nenu clg ki ochedhe nelaki okasari ,8
confused,me: meeru nannu questions adigithe kastam andiii,8
confused,me when lecturer asks me a question,8
wonder,friend: avaru ra aa ammai,7
wonder,friend: ala aakasam loki chusthe artham kada ami ,7
wonder,me: ha neeku ala telusu ra,7
wonder,me: bale undi mama aa ammai,7
angry,when my friend got injury in game,2
angry,"nenu elagina aadi teerutha, odipoyina parledhu",2
surprised,me looking straight into their eyes after knowing they are lying to me,3
wonder,me: nee mohaniki english newspaper avasarama motham thappe chaduvuthunav!,7
happy,me dreaming about my future with my wife be like ,0
surprised,me playing dagudumuthalu in my childhood,3
surprised,andaru dakkondi,3
confused,ne vellipotha inka ikkada nunchi,8
confused,lecturer: cheppeyara neeku kaavalsinavi annii cheppey,8
confused,me telling what i like and confusing the lecturer,8
heroism,me and bro dancing after two thump ups in pub,5
neutral,dad: 10 backlogs pettukuni siggulekunda andharitho dance esthunava,4
neutral,me: yoyoo ,4
neutral,me dancing in family function,4
neutral,dad: nenu anukuntune unna chi chii,4
neutral,me: avii mee dabbulathone konna,4
neutral,me: antha feel avvakamdi nanna,4
neutral,dad: eraa enti kotha battalu techav naaku,4
neutral,"me: rey, evaru chepparu. nenemi padukovatledhu",4
neutral,"me sleeping in inter college study- hour:
wardern: era padukuntunnava",4
angry,mom beating annaya for some reason,2
angry,pillabacha me: please mummy annaya ni kottaku ,2
angry,vadi antha yedhava evadu ledu,2
angry,me about my friend: naa frnd gurinchi em telusu meeku?,2
confused,akka: daddy naa shopping ki money kavali,8
confused,dad: idhigoo na card motham vaaduko ammaa!,8
neutral,my friend: aaah matram cheyali mari attendance veyinchukovdaniki,4
neutral,me watching my friend who is doing overaction in front lecturer,4
neutral,police: ippudu room esi savakodithe telisidhi neeku memu evarooo,4
neutral,me: odhu sir please nannu odhileyandi,4
neutral,police: signal ndhuku cross chesav,4
neutral,me: naa istam nuvu evadivi?,4
wonder,girls after looking at my friend:,7
wonder,ente veedu vichitrnaga unnadu,7
happy,my sister: intha andamga ala puttave babu..,0
angry,nannu ra antava nuv,2
angry,entra nuv gokuthunnav anta,2
angry,entra ammayini gokutunnav anta,2
angry,vadi sangathi chuddam pada ra,2
heroism,me: undu oka call chesukunta,5
heroism,me in call with my frnd: rey mowa taj banjara lo unnaaaa,5
heroism,my crush: evariki,5
disgust,asalu meelo okkadaina chadive mokalu unnayara,1
sad,abbaa veedu chesthunadu enti ,9
sad,my reaction when my appuu ichina frnd calls me ,9
neutral,police: padha police van ekku,4
neutral,police: entra bike antha fast drive chesthunav?,4
neutral,me: nenu evaro naa falshback telisthe salam kottiiipothav,4
neutral,me: cheyi teyyiii,4
neutral,me: mee laaga 20 lo vellamantara enti,4
neutral,me: sports bike konnadhi ndhuku fast ga drive cheyadanike mari,4
neutral,vadu navadu ,4
neutral,eyyy ,4
disgust,dad: rey fast ga kani ra school time ayindhi ,1
disgust,me in childhood,1
neutral,my friend on saturday,4
neutral,my friend on friday,4
neutral,my friend on sunday,4
surprised,me: avnu nene inka ivaltinunchi pro player ni nenu,3
surprised,my friend: okkadanikee?,3
surprised,my friend to me: enti nuvvena clutch chesindhi?,3
disgust,"ammayilani love cheyyakandi raa, life sarvanasanam avuthundhi",1
disgust,"kanisam ippudina maarai, buddhiga job chesukondi",1
disgust,my advise to boys on 2025,1
wonder,me showing my best friend when someone asks mee batch lo andhagadu evadu,7
angry,evadra nenu taginappdu videos teesi na crush ki pettindhi ,2
angry,telvali vadevado narikestha ,2
neutral,me after complete of my inter: nanna! nenu inter pass ayipoyaa,4
neutral,"naaku ventaney, oka bike and oka apple phone kaavali.
nuvvu kontaava or naaku money send chesthavaa",4
angry,deeni yamma dini sangathi ento chusta iyyala enni cups palag kottidhi ,2
surprised,nee koduku ippudu em chesthunnadu,3
surprised,"vyavasayam chesthunnadu, nee lanti cheeda purgulni",3
surprised,eri padesthunnadu,3
neutral,okkadine,4
surprised,invigilator: slips ni nemmadhigaa open cheyandi raa,3
surprised,invigilator: veedu nannu irikinchesela unnadu,3
surprised,"my friend: meeru undaga maaku bhayam dhneki sir, squad vacchina venatney naaku cheppandi",3
disgust,nenu thinanu cheyi kadigesi ellipothaaaa,1
disgust,me when mom scolds while eating,1
happy,let's go i say,0
happy,inka movies lo try cheyatame balance undhi,0
happy,enti intha andhamga unna,0
happy,me looking into mirror after applying powder ,0
happy,he is so handsome ,0
happy,he is so cute ,0
happy,he is so sweet ,0
neutral,lecturer: vellu legends entra total scrap,4
neutral,me with my lecturer: sir velle my friends living legends ,4
neutral,me trying to escape from college hostel,4
angry,in childhood when my dad caught me while removing the barbie doll dress,2
heroism,talking about me while playing pubg,5
heroism,enemy: evadra vadu okade vachi motham squad le lepesadu,5
happy,me and my friends after bunking college,0
sad,that one friend: na vallee problem ayithe cheppandi mowaa nenu ellipotha ,9
heroism,me: ante adhii usshhhhhh!,5
heroism,crush: avnaa dani peru enti cheppu ,5
heroism,"me with my crush: naaku ee pakshulu janthuvulu ante chala istam, i am a nature guy",5
neutral,"me: endukante, meeru bus ekki vasthaaru kadhara",4
neutral,"me: inko saari nannu troll chesthey, meeru intiki naduchukuni vellaleru",4
neutral,me giving warning to my friends who trolling me: ,4
surprised,style ga undhi kadha naakudaa nachindhiiii!,3
wonder,"students: maths sir, meekamina mental haa, pet period lo class cheptha antunnav",7
wonder,"maths sir: picchi kaadhu raa, syllabus complete avvali ",7
happy,mardhal: idhigooo baava ee sweetlu kooda thinu,0
happy,me: inkennii thinamantav poyela unnaaaa!!,0
wonder,"me: avunaa, padha raa, thank you",7
wonder,"my friend: rey, ikkada mandhu baaledhu, pakka shop lo quality baagundhi anta",7
fearful,vamooo enti naake bhayamesindhi,6
fearful,when i suddenly open my front camera,6
sad,my frnd after his breakup ,9
disgust,adhi telisi unte nenu ikkada endhuku untanu ra ,1
disgust,sir ee match evaru gelustaru,1
neutral,overthinking introvert  me at mid night: okavela manam chanipothe na browser history evaru delete chestadu,4
heroism,my female friend in her pelli choopuluuu!!,5
heroism,"nuvvu ""huu anu"", ikkada unna vallandarini 10 minutes lo lepeddham..!",5
wonder,ivi kuda marchipotha anuko ledu ,7
wonder,"my after forgetting that supply girl insta id be like:
cha deniyamma jeevitham ",7
wonder,kanisam answers gurthundav anukunna kani ,7
fearful,"sir, naaku nijanga telidhu sir, telisthey neney velli poyevadini kadha sir...?!",6
fearful,when hod asks me about my friends:,6
neutral,ha hospital bed midhe unna ra ,4
neutral,speaker on chesi doctor ki ivvandi ,4
neutral,mi car ki accident ayyindhi ,4
neutral,tatha garu hospital ki vellara ,4
confused,"my frnd: thappem ledhura mowaaa, ilane undali nee laaga unte brathakalem, naaa laane undali",8
confused,me: thappuraa mowaa ala mee papa ni mosam cheyakudadhu vere vallatho pulihora kalapakudadhu ,8
angry,vidiki ela telisindhi ra ,2
angry,era naku cheppakunda cinema ki pothara,2
angry,kurchovayya kurcho,2
angry,enti okkadanike arustunnaru ,2
neutral,frnd: kachithanga vaade mowaa ivela pappu thindhi vaade,4
neutral,me with my frnd: rey nuvve kadha fart chesindhiii,4
happy,kotha phone number vachinappudu roju motham pranks cheyadaniki saripothadi ra babu,0
neutral,"principle: rey nuvvu, complete cheyyaka pothey parents, nannu mingu thaaraa",4
neutral,"teacher: sir, nenu syllabus complete cheyyagalanaa!!",4
sad,me remembering what i have done last night after drinking  ,9
heroism,me: evadra vaadu lepestha velli vadini,5
heroism,my friend: rey mowa odhuraa vallu seniors raaa,5
heroism,my frnd: rey mowa vadini esestharaaaaaa,5
heroism,me trying to control my frnd: urko mowa manaki ndhuku cheppu ,5
sad,attu vellandi miru kuda ,9
sad,"enti sir panti noppa, madhu ekkada undhi ",9
sad,naku kuda vachindhi lendi panti noppi,9
sad,atu vellu ra,9
angry,nuv evadra na poriki line esedi,2
wonder,me: kani nuvvu ituuu unnavga!,7
wonder,my crush in cls: atuu chudu board atuu undhiii,7
wonder,prakash raj: he is a famous lover,7
wonder,"police: sir, who is that guy, that you fight",7
sad,me with my dad: chudu daddy mummy ela kottindhoo nannu,9
sad,dad: urko nanna urko mellaga naa laaga alavatu ayipoyidhi neeku kooda ,9
neutral,"project last lo, inkevado kotha vaadini pattukocchi pedathaaru",4
neutral,mana project okadu start chesthaadu,4
neutral,vaadu poyi madhyalo inkodu vacchi join avuthaadu,4
angry,me: enti mee girlfriend ledhu ani nannu pilusthunava vellu thanathone vellu memem raamu,2
angry,my frnd today with me who went ouside with his girlfriend yesterday: eraaa movie ki veldham raaa,2
happy,asalu vallu enduku vacharra ,0
neutral,me: nenu intlo nunchi vellipotha,4
neutral,"when i got less marks, my dad: tv connection peekinchestha",4
heroism,my friend going for drinking competition:,5
angry,malli naaa chethilone undhiraa meeku!,2
angry,me waiting for the squad to respawn after recall,2
angry,me: randiraaa mee kosame waiting,2
angry,"ee paatiki, andharu maths genius ayye vaaru, that's what i am saying",2
angry,"when maths teacher gets angry: meeru pt class lo pettey shraddha, koddhiga maths sums cheyydam lo pedithey",2
happy,after flirting with her whole night next day be like: rey itu rara,0
happy,nuv ra mundhu,0
happy,edi kada ra nenu chudali anukundi,0
happy,when that two friends getting along,0
heroism,"when i came to know that, my friends are not single ",5
surprised,"yera ratleda, degree pass ayinantha easy kadu ra soda kotadam",3
surprised,nanna na soda nene kodta ,3
fearful,my situation after writing love letter to inspector wife,6
angry,me: ilane cheppi nannu pushpam ni chey ,2
angry,my frnd: neekenti  baava hero la untav aee ammayi ayina padipoyidhi,2
heroism,me scolding my friends infront of lecturer to get good name ,5
sad,me: rey mowaa nannu nammara nee snacks nenu thinaledhura ,9
sad,my frnd: rey rey natinchakuuu nuvvu ,9
sad,veedu kudu ni pulihora lo bagame ga ,9
sad,enti antha mandhi tho pulihora kaluputunnav,9
wonder,me and my friends wondering after the results how we passed the exam ,7
disgust,me: job osthe adhe chesukunevadinigaaa,1
disgust,grand mother1: ennii rojulu ani intlo kurchuntav job cheskovachuga ,1
disgust,grand mother 2: naaku telusuraa nuvu deniki paniki raavu anii!,1
neutral,tesuku rakapothe vedini avidani iddarini teesedham,4
neutral,sir vidiki mundhemudho kuda kanapadadhu ,4
neutral,mavadu tesuku vastadu aa ammayini,4
disgust,ma friend gadi love story pado sari chep tunnappudu,1
neutral,scrap gallu motham ikkade unnaru ,4
neutral,evvarra mirantha ,4
neutral,mi clg lo chadive students sir ,4
heroism,my wish when no one is there in the office ,5
neutral,open plan-b,4
neutral,"when invigilator, took my slips in exam. then me and my friend",4
confused,indake biryani tinna annav ,8
confused,"nuvvu cheyyaledu ani telisindhi andhuke tintunna 
",8
surprised,muddu pedatada,3
surprised,pettesadu,3
surprised,videnti deggariki vastunnadu,3
happy,"when manager is increment is giving increment to my friend who didn't do any work, and that friend left the company",0
