text,emotion_label
"Students: Vaa Velthaamu Sir, we want games",wonder
"Maths sir took a long Scale, and asked who will go to games now",wonder
Maths Sir: Ivala Pet Period ki veltharaa,wonder
arey aa pilla joluki poku ra ,confused
me still going for her ,confused
Fast gaa teeskelluu viripoyindhi ee bed,sad
My friend: Ee bed odhuu nannu teeskellipo ,sad
My friend wife to him: Entandi emayindhi,sad
my friends after a girl replying to them  be like: mawa gunta flatu ,wonder
me praying to make me pass without studying anything,happy
miru kaka pothe evaru estar ra jokulu ,fearful
natho untu na meedhe jokulu esthe bgodhu rey ,fearful
Me as classleader in English: all of u please stay silent ,neutral
Me playing with lati when my father is police officer,neutral
Thaggedheley,heroism
Warden: Babu leguvu,neutral
Me: Vammoo odhu ippude lechi brush chesukuni ostha,neutral
Me: Enti sir padukonivvaru ,neutral
Warden: Neeku repati nunchi tiffin cutuuu,neutral
Me: Ninnatidha mari mummy naaku pettesindhi entiii  ,surprised
my athi friend: arey thappu ra neeku vadhina avthadi,neutral
me and my friends after seeing that random girl on street,neutral
"When you sleeping on 31st night, but you suddenly remeber to wake up",surprised
Mom: Eraaa yedhava cls lo needhe last rank antaga ,sad
Me: Ndhuku mummy malli gurthuchesi badhapedathav,sad
"Me going to home, When I get less marks in Exams",sad
aunty ma bf ni vadileyandi ,disgust
nuvve vadiley ni bf ni ,disgust
when i thought my friend is topper,confused
after seeing his true nature: veedu nakante vedhavala unade,confused
My frnd who send the whole movie as a snap,heroism
My frnd when i don't give him money: Aee tsunami oo ochi nuvvu kottukupovaliraaa,angry
My frnd: ayithee eesari kooda chesey ,angry
me: Entra mowaa ala antav chi chi ennii sarlu help chesara neeku,angry
rey bike keys itu iyyi ,angry
nen ediki potle,angry
EMI's,neutral
When Salary Credited,neutral
Maths Teacher: Enthaku Teginchraa meeru,surprised
"Dr. Jayakrishna simha, BA, MA, M.phil, fff, Sex specalist laa undhi. Jaya Krishna Simha short gaa undhi ani, aa chettha anta lepi mani cheppanu",surprised
Neney teesi mani cheppa,surprised
"Rey, Nuvvu evadivira, avi lepi mandaniki",surprised
enti arya ekkadiki veltunnav ani adigi nanduku ,surprised
pikesi: Igo ni pilli gaddam,surprised
asalu niku ee pilli gaddam enduku ra ,surprised
Me: Idhi just sample aeee ,wonder
Me: Mundhu undhu musallaaa pandagaaa!,wonder
my dad giving warning to me to not go out on Dec 31st night,angry
me: meeru mari antha harsha decisions teskokandi nanna,angry
arey kamal veediki mastu sex picchi ra ,angry
my best friend after knowing that i have a girlfriend ,surprised
"Paata baagundhi, kaani konni talaalu, gamakaalu, inka baaga undaali",neutral
Her Inner dialouge: Aithey nuvvu vacchi paadi choopinchu,neutral
"In Special occasions, When a girl sings a song, Principle",neutral
Me after seeing my frnd with his girlfriend: Rey nee sangathi room ki raraaaa chepthaaaa,angry
Me: Eraa pottoda neeku undhiraaaa,angry
"Chowdary, Justice Chowdary",surprised
Evaru meeru..?,surprised
"Rey, appigaa. Nuvva, Inka evado anukunnanu raa",surprised
"Me to my friend: Arrey Thuppas Yedhava, Ivala madhyanam party isthaa ani cheppi. Ivala college ki raakunda untaava",surprised
"When I got Salary on 1st, All my EMI's, House rents and Everything",disgust
When ever i open my phone notifications,happy
That one guys snap all the time be like: ,happy
Me with junior in clg,heroism
Neeku emanna kavali ante manaki call chesey nenu chusukunta ,heroism
Manadhe idhantha,heroism
na crush ki PPT vesi mari nenu enduku aa pilla ki correct ani explain chesthuna,confused
Emii rani me during seminar,heroism
try cheyali kani chala mandhi padtharu mama neeku,happy
that hopeless romantic friend,happy
Me: Ippatike ne maata vini shed ayya nenu inka vinanu nenu ,heroism
My frnd: Rey mama naa maata vinara eesarii ,heroism
Complaint chesina me: Ayyooo sir nenu meedha ndhuku complaint chestha cheppandi!,fearful
Teacher: Eraa nuvena naa meedha complaint chesindhi principal ki?,fearful
Telusugaa meerante naku entha istamooo,fearful
after drinking: ade nannu chuskundhi,neutral
"babai oo 90 tesukoni ra, ade neno chuskundam ",neutral
me when mom calling me to eat after beating me in childhood ,sad
"Maa vaadu hero, asalu vaadi mundu evadu panikiraadu ",surprised
Me giving hype to frnd infront of his crush ,surprised
me looking at my crush and admiring her : Intha andaga ela unnave nuvvu ,surprised
my team member: Naa face aee intha!,neutral
me: navvithe nee asthi em karigipodhuga,neutral
me: Konchem navvocchuga,neutral
me to my team member:Ndhuku ala eppudu serious face pettukuni work chesukuntav? ,neutral
My friend: Entraa idhi!!,surprised
"On exam day, When my friend saw my youtube history, That I covered all the topics from youtube",surprised
"Me: Emo raa, Naaku telidhu",surprised
"My friend: Nijam cheppu raa, Motham chadivesaava ledhaa, Nijam Cheppu",surprised
My school crush distributing chocolates to everyone on her bday,happy
Me who is waiting with shy to say happy birthday ,happy
"Rey aa Ammayi Phonenumber kanukko, Break iddham",neutral
"When a random says 'Hi' to me, Then Immediately to my friend",neutral
"sir mi antha manchivadini,andhagadini",wonder
miru asalu super anthe,wonder
edi chala over ra rey,wonder
"nenu asalu eppudu,ekkada chudaledu",wonder
My with my books during school days ,disgust
My frnd: ee yedhava nannu kooda irikkinchesadu,fearful
When lecturer caught me while copying: Sir veedu kooda copy kottinduuu vadini kooda kooda pattukondi saarrr!!,fearful
manalni evvarra aapedhi ,heroism
manaki oo baasha flash back undhi telusa,heroism
"Endanna, Nuvvu kooda, collare pattukunnav, Adigithey cheppevadini gaa",surprised
"Rey, kooli naa kodaka Saruku eda undhi raa",surprised
Ippudu andaru vallu thala dinchukunela chesaadu. Manchi Job Tecchukunnadu,neutral
"My dad about me: Ayyadamma, Ayyadu, Okappudu Andari mundhu Thala dhinchaadu",neutral
My frnd: Kathi pattukuna kathila unnav mowaaaaa,heroism
Me killing enemies with knife in bgmi ,heroism
emaindhe naku ,wonder
"miru chani pothe, manavadu magic chesi brathikinchadu andi",wonder
Me during our ooru jatharaaaa,heroism
uncle: Navvuthunav ante inka raaledhu anamata ,neutral
"uncle: bane unnara abbayi, Inthaki job ochindha?",neutral
Me: Anavasaranga kekila mimalnii,neutral
Me in family function: Hello! uncle ela unnaru,neutral
kadupu mantatho kali pothunna my friend after listening that i passed in all exams,surprised
Dad: Idhigo ee 10Rs unchukoo,neutral
Dad: Inkentha kavaliraaa neeku,neutral
Dad: Enti money kavaala,neutral
Me: 10Rs ki pallilu kooda raavu daddy,neutral
Dad: Odhilithe naa asthi antha thineselaga unnavga,neutral
Dad: Muskuni padha ikkadanunchi,neutral
me after continuous night shifts ,sad
"ledu anduke, ninnu pelli cheskunta antundhi",disgust
asalu ni mokam addam lo chusu kunnava ,disgust
nuvvu nannu matrame pelli chesukovali ,disgust
When introvert starts dancing,happy
ra ala thupalloki elli matladu kundam,surprised
twaragane aipoyidhi gani,surprised
Adhi cheyadam tappa inkoti radhu kabatti ,disgust
sir miru endhuku over action chestunnaru ,disgust
ee bokka kuda undha veediki ,disgust
"Newly Married wife to Husband: Intlo panchadaara ledhu ani, Upputho Tea chesaanu. Ela undho cheppandi!!",neutral
My expression: Em chesthunnaraa baabu,surprised
Me enjoying my class girls dance on the stage,surprised
Dad: battalu sardhukuni intlo nunchi bayataki vellipo nuvvu,neutral
Dad: Bandi apara,neutral
Me: Potha kosthe aksharam mukka radhu nee busniess aah,neutral
Me: Nee kallu mokkutha daddy edho urike anna musknu job chesukunta,neutral
Me: Daddy ee job lu ivannii naa valla avvavvu naa asthi naaku isthe edhoka business chesukunta nenu,neutral
Me: Ndhuku daddy,neutral
My two friends fighting in sitting after two pegs be like ,angry
mana mokalu chustene telisi pothundhi,disgust
rey akkada em jarigindho evvariki cheppaku,disgust
manam cheppal sina avusaram ledu ,disgust
Me and my frnds after with zero contribution in the project ,heroism
me to my friend: arey na money appudu esthav ra,confused
neeku echa chudu na budhi thakuva ra,confused
When Girls got 1 mark less for 100,disgust
Neeku baaga extralu ekkuvayyayi nee sanagthi cheptha,neutral
My lecturer spotting in group: Eraa nuvvu leguvuuuu,neutral
me calling relatives with my new phone number,neutral
Me telling my love story with all my group after drinking,happy
when my girl sends view once pic and there is nothing in that,neutral
Mom: Fafam naa bidda entha kastapaduthunadooo!!,sad
Me explaining my food kastalu and room kastalu in hostel to mom:,sad
"Me enjoyed Party at 31st of December and Asked my friend to pay the Bill
His Reaction:",neutral
me dreaming about with my kids in jaareduballaaa!!,heroism
entha cheppina enduku vinaledu ra ,sad
ippu chudu em ayyindho,sad
"Me sitting in the annual day, when our school Principal sir is coming",heroism
Me with my Cr: Thans raaa mowaa memu cls ki rakapoyina maaku attendance vesinandhuku,neutral
Cr: Nenu unnara meeku nenu chusukunta,neutral
Intha style gaa unnadu ,surprised
When someone see my friend for the first time: Evadra veedu,surprised
My frnd: Mowaa Fail ayyara intlo result ela chupiyanu,wonder
My frnd: Nuvvu thopu raa mowaaaa!,wonder
"me: Naa laaga grades marchey mowaaa, tarvtha supply fees kattey ",wonder
Me: Mari nee laaga thini potta penchamantava,happy
My friend to me: Eraa enti gym ki velthunav antaga?,happy
Elder bro in every Family,angry
rey santhakam chey ra ,wonder
elimudra batch me.......,wonder
"My singing: Nara naaney, nara naaney, nara naaney naaney naina, Nara naaney, nara naaney, nara naaney naina,",neutral
Me next day after eating pani puris without stopping,sad
Indolam Sir,neutral
"Indolam ante, Sa. aree gaa maa",neutral
Nuvvu paadindhi A raagam thalli,neutral
Ninnuu clg lo join chesa chudu naadhi thappu,sad
My dad after seeing my grades: Ee grades entra asaluuu,sad
my introvert friend after drinking be like :,happy
inko sari vadiki line esthe aa inko kannu kuda undadhu,angry
Invigilator: Fafam urgent emoo boy ki,angry
Invigilator: Ichesi Parigedathaventra!,angry
Me with invigilator who didn't allow me to toilet: Sir idhigondi mee paper teeskondi,angry
Me after clearing all the subjects ,happy
My frnd: Nene mowa ninna kelika code ,wonder
Me: Orey yedhava asalu code ni ndhuku kelikavraaaa!!,wonder
Me: Ayipoyindhi mowa code run avvatle manager champesthadu,wonder
Dad: Entra overaction chesthunav,heroism
Me: Ivalti nunchi nanu ela thidatharoo nenu chusthaaaa,heroism
Me: Ndhukante nenu btech pass ayipoyaaa,heroism
sher ,wonder
sher vachhadu chudu,wonder
"When my friend sees a random Beautiful Girl, ",happy
Evandi Oka saari Mee phone number isthaara. Just rojuki 10 times maatramey phone chesthaa,happy
ikkadi nunchi jump ra babu,surprised
"that one kind, when i find him alone: aipoynav ra eyala",surprised
Me explaining about my daridram to hr ,sad
me: vallu adigindi adi kadu kada ra,neutral
friend: nuvu agu ra babu nenu chepthuna kada,neutral
my friend trying to cover the questions asked during presentation,neutral
My friend trying to impress his crush with his dance,happy
Dhaaniki inka time undhi gaa,surprised
Neeku mundhey vacchesindhi,surprised
Happy Deepavali,surprised
Me playing with my akka pillaluuuu!,happy
My frnd keeping saapalu when we play with him ,angry
"Father: Family tho paatu vellentha Dabbulu levamma, ee saariki OTT lo chooseddham",sad
Daughter: Nanna Mana Family antha Pushpa-2 movie ki veldhamaa,sad
Me with my female friend: Nuv ela navvuthavo telsa?,happy
me: eroju night dhani alago ala dacheyali,happy
akka koduku na action figure teskunadu bro,happy
"Me: Era nuvvu raasthey saripothundhaa, Memu exam rayaddha,",angry
My topper friend after writing the exam quickly,angry
"Macha, inka veldhaama, baitaki",angry
"In 2020, when Lockdown was extended: Malli lockdown extend chesarentra baabu",sad
theta friend: servent gadu vachadu roi,angry
cr: class bunk cheyadu ra,angry
Me: Naaku BMW bike kavali,happy
Me with my mom: Eesari anni subjects pass ayipoya mummy,happy
Ivala college ki raakunda untaava,angry
"Me to my friend: Arrey Thuppas Yedhava, Ivala madhyanam party isthaa ani cheppi.",angry
Me: Enti matter oo cheppu em kavali,disgust
Girl friend: Ivela bale cute unnavraaa,disgust
She: Nannu ala movie teeskekllochugaaaa,disgust
Me with my senior: Kottadaniki pampincha antaru enti kottindhe neu ayithe ,heroism
"nenu munigina, vadini munchesta",wonder
me hiding my friends home work:,wonder
Business pettukunta dabbulu ivvu daddy!,sad
Frustrated Me with my dad after failing btech: Daddy ee chaduvulu annii  naa valla kadhu,sad
"Me: Povai,povai, annadey auto apparo, Pi Pi Pi annadey Scooter subbarao...",surprised
"Everyone enjoying Family party, with neat and pleasant dresses",surprised
"Entamma idhi, naa meedha murder plan chesthunnava",neutral
"When my sister prepare food, and gave it to me taste it, My reaction",neutral
mean while my frnd edits,neutral
My Frnd : I am a great editor ra,neutral
My Dad,angry
When I loose 2 lakhs in Cricket Betting,angry
My friend's Planning on 31st Night in the PUB,happy
Dad: Idhigoraa ee 500 teesukuni pandagaki battalu konukkoooo ,confused
Me: Veetiki underwear kooda radhu daddy!,confused
police: padha police van ekkuuuu,neutral
Police: Nuvu baa ekkuva chesthunav,neutral
Me: Sports bike ikkada aah matram speed vellara,neutral
Me: Ayina mee 100 meeku istha nannu odhileyandi,neutral
Police to me: Ndhuku fast drive chesthunav?,neutral
Me: Evari meedha cheyii vesthunavo telsaa,neutral
my friends after getting  DSLR,fearful
rey anni poses lo tiyyi ra ,fearful
rey intha mosam chestava,fearful
nenu ekkada chesa mawa nuvve mosa poyav,fearful
me seeing my favorite hero's newly released movie trailer,heroism
"help cheddam ani vaste, dini balupu idi",heroism
"oriniyamma, diniki sahayam cheyadam kuda bokke",heroism
mam its an big issue,heroism
"naku chala panlu unnay, vellandi",heroism
Girl: Meeku Ee library lo Membership undaa,neutral
"Hero: Eppati nuncho, Regular gaa ee library key vasthaanu",neutral
me giving birthday party to friends,happy
frustrated me: chepandi ra motham hotel lo unna items motham chepandi,happy
friend 2: naku oka prawns and mutton biriyani,happy
friend 3: naku raagi mudha with mutton curry and ulavacharu biriyani,happy
me: edi thappu motham thappu thappu ga chesthunaru meeru,neutral
when ur grandma gave money to sister but not you,neutral
Me with my friend: Ndhukuraa nenate intha prema neeku naa meedha gudilo archana cheyinchav,wonder
my idiot friends: rey adusthundu veedu,neutral
me being emotional during movie,neutral
me planning with frnds how to escape from class by saying kadupulo noppi,happy
"me and my frnd during ipl
Rcb fan me: Evadraaa nuvvuuu maa team ani anadaniki",confused
Csk fan my frnd: Antaraa em chesthav ippudu!,confused
Me: Veedu nannu vadhalada,neutral
Me and my boku Friend Joined in Same college and Same company,neutral
police: Avnaa sp gaaru ikkade unnaru raa matladudhuganu,neutral
Police: Raaa pakkaki raa,neutral
Police to me: License undha?,neutral
Me: Enti sir ala antaru edho casual ga annam,neutral
me: Maa babai sp,neutral
Me: Ledhu,neutral
my laddu frnd after wearing kothaga kuttinchina uniform for the first time,heroism
thammudu cricket vacha?,neutral
Padha nannu adukundham manam,happy
me with my sister: Ndhuku akkaa danini ala antav ,happy
After after listening to my crush fantasies ,happy
my frnd: Mee daddy deggara ninnu erikinchaga neeku undhile ippudu ,happy
Me: Nuvu rathri thagi mee daddy thittindhi video theesi already ma nanna ki pettesa!,happy
ni kosam soraina avutha,wonder
ni kosam era aina avutha ,wonder
"When it's Month Starting, My friend get his Salary credited, His reaction",neutral
"When a random Beautiful girl proposes to my friend, His Reaction",happy
Dad to me after getting govn job: ninnu chusthe chala garvam ga undi ra shabash beta,neutral
My cousins: Vellali thappadhu malli next holidays ki ochestha nee kosam,neutral
Me with cousins after holidays: Appude vellipokandi,neutral
akkada ela pettav ra,surprised
Dhoola Me: Daddy ala mee car veskelli chinna patch pettesa,wonder
Me: Urike ala chinna trial esaa daddy ochidho radhoo ani ,wonder
Dad: Asalu driving raakunda car ndhuku teesavraaa,wonder
CSK fan: Ee saala Cup Namdey ani cheppukodam kaadhu raa. ,angry
Csk fan: Dhammunte maalaaga Kotti choopinchadni!!,angry
chitka kottudu kottali sindhe,angry
vidini erou vadelede ledu ,angry
"my situation after one round of jogging be like:
inka enduku le podam intloki",disgust
evaru chudaka mundhe povali ,disgust
"when i ask money my father be like:
enti nanna niku paisal kavala",wonder
poyi tenchuko po,wonder
nenu nilabadi chusta chetulu kattukoni,wonder
mana intlo chettu pettinam ga ,wonder
My Brain: 2 times squad ki dorikina siggu ledha yedavaki,neutral
"Me to my Heart: Repu Exam undhi ga, padha slips ready chesukundham",neutral
naku emaina telusa enti naku kuda em teliyadu sir,wonder
"when some one broke class board:
nakem teliyadu andi ",wonder
Gold medal techestha olympics lo permission sithe,neutral
Me to me: Evadraa babu intha andhamga unnadu,neutral
Me looking into the mirror,neutral
agu chudaniyyi,fearful
na kallalo em kani pisthundho cheppu,fearful
nallaga barre kanlu unnatu unnay,fearful
My frnd when he see new juniors in clg ,neutral
me with no choice listening to his kathalu ,confused
"my friend, saying kathalu ",confused
Me with my tatha for pension dabbulu: Tatha gariki pranamalu ,confused
sir chevulu musukondi,disgust
nijamera entha prashan thanga undho ,disgust
"Me: Evadraaa frnd neeku, pakkaki poo",angry
Avasaram untene msg chese frnd: Rey mowa manam frnds kadhara ,angry
me and my bros discussing abt that pink saree ammai that we saw in metro,neutral
yesssssss,happy
vadu naante unnadu ,happy
"enti sir, entha sepu wait cheyali asalu ",disgust
"nannu matladincha kandi, ganta nunchi opika padutunna",disgust
Me and my friends when teacher asks evadra allari chesindhiii!,heroism
My swathi muthyam frnd when we crack jokes on him ,sad
Friend cover istha ante rush chesi knock ayina me: Ninnu nammukuni rush chesa chudu naa budhi thakkuva,angry
My frnd: Velluu velluuu velliii plate lu kadugu,surprised
Me after getting Us Viva ,surprised
Manaki antha scene ledhu ikkada ,wonder
Me: Hey naa nunchi chala expect chesthunav nuvvu ,wonder
sister: Annayya oka 10k arrange cheyochugaa trip ki velosthaaa,wonder
Me: Sir nenu clg ki ochedhe nelaki okasari ,confused
Me: Meeru nannu questions adigithe kastam andiii,confused
Me when lecturer asks me a question,confused
friend: avaru ra aa ammai,wonder
friend: ala aakasam loki chusthe artham kada ami ,wonder
me: ha neeku ala telusu ra,wonder
me: bale undi mama aa ammai,wonder
When My Friend got injury in Game,angry
"Nenu elagina Aadi Teerutha, Odipoyina Parledhu",angry
me looking straight into their eyes after knowing they are lying to me,surprised
Me: Nee mohaniki English newspaper avasarama motham thappe chaduvuthunav!,wonder
Me dreaming about my future with my wife be like ,happy
me playing dagudumuthalu in my childhood,surprised
andaru dakkondi,surprised
Ne vellipotha inka ikkada nunchi,confused
lecturer: Cheppeyara neeku kaavalsinavi annii cheppey,confused
Me telling what i like and confusing the lecturer,confused
Me and bro dancing after two thump ups in pub,heroism
Dad: 10 backlogs pettukuni siggulekunda andharitho dance esthunava,neutral
Me: Yoyoo ,neutral
Me dancing in family function,neutral
Dad: Nenu anukuntune unna chi chii,neutral
Me: Avii mee dabbulathone konna,neutral
ME: Antha feel avvakamdi nanna,neutral
Dad: Eraa enti kotha battalu techav naaku,neutral
"Me: Rey, evaru chepparu. Nenemi padukovatledhu",neutral
"Me sleeping in Inter college Study- hour:
Wardern: Era padukuntunnava",neutral
Mom beating annaya for some reason,angry
Pillabacha me: Please mummy annaya ni kottaku ,angry
Vadi antha yedhava evadu ledu,angry
Me about my friend: Naa frnd gurinchi em telusu meeku?,angry
Akka: Daddy naa shopping ki money kavali,confused
Dad: Idhigoo na card motham vaaduko ammaa!,confused
My friend: Aaah matram cheyali mari attendance veyinchukovdaniki,neutral
Me watching my friend who is doing overaction in front lecturer,neutral
Police: Ippudu room esi savakodithe telisidhi neeku memu evarooo,neutral
Me: Odhu sir please nannu odhileyandi,neutral
Police: Signal ndhuku cross chesav,neutral
Me: Naa istam nuvu evadivi?,neutral
girls after looking at my friend:,wonder
ente veedu vichitrnaga unnadu,wonder
my sister: intha andamga ala puttave babu..,happy
nannu ra antava nuv,angry
entra nuv gokuthunnav anta,angry
entra ammayini gokutunnav anta,angry
vadi sangathi chuddam pada ra,angry
Me: undu oka call chesukunta,heroism
Me in call with my frnd: rey mowa taj banjara lo unnaaaa,heroism
My crush: evariki,heroism
asalu meelo okkadaina chadive mokalu unnayara,disgust
Abbaa veedu chesthunadu enti ,sad
My reaction when my appuu ichina frnd calls me ,sad
Police: Padha police van ekku,neutral
Police: Entra bike antha fast drive chesthunav?,neutral
Me: Nenu evaro naa falshback telisthe salam kottiiipothav,neutral
Me: Cheyi teyyiii,neutral
Me: Mee laaga 20 lo vellamantara enti,neutral
Me: Sports bike konnadhi ndhuku fast ga drive cheyadanike mari,neutral
vadu navadu ,neutral
eyyy ,neutral
Dad: Rey fast ga kani ra school time ayindhi ,disgust
Me in childhood,disgust
My friend on Saturday,neutral
My friend on Friday,neutral
My friend on Sunday,neutral
Me: Avnu nene inka ivaltinunchi pro player ni nenu,surprised
My friend: Okkadanikee?,surprised
My friend to me: Enti nuvvena clutch chesindhi?,surprised
"Ammayilani Love cheyyakandi raa, Life Sarvanasanam avuthundhi",disgust
"Kanisam Ippudina Maarai, Buddhiga Job chesukondi",disgust
My advise to boys on 2025,disgust
Me showing my best friend When someone asks mee batch lo andhagadu evadu,wonder
evadra nenu taginappdu videos teesi na crush ki pettindhi ,angry
telvali vadevado narikestha ,angry
Me after complete of my Inter: Nanna! Nenu Inter pass ayipoyaa,neutral
"Naaku ventaney, oka bike and oka Apple phone kaavali.
Nuvvu kontaava or naaku Money send chesthavaa",neutral
deeni yamma dini sangathi ento chusta iyyala enni cups palag kottidhi ,angry
Nee Koduku ippudu em chesthunnadu,surprised
"Vyavasayam chesthunnadu, Nee lanti cheeda purgulni",surprised
Eri padesthunnadu,surprised
okkadine,neutral
Invigilator: Slips ni nemmadhigaa open cheyandi raa,surprised
Invigilator: Veedu nannu irikinchesela unnadu,surprised
"My friend: Meeru undaga maaku bhayam dhneki sir, Squad vacchina venatney naaku cheppandi",surprised
Nenu thinanu cheyi kadigesi ellipothaaaa,disgust
Me when mom scolds while eating,disgust
Let's go I say,happy
Inka movies lo try cheyatame balance undhi,happy
Enti intha andhamga unna,happy
Me looking into mirror after applying powder ,happy
he is so handsome ,happy
he is so cute ,happy
he is so sweet ,happy
Lecturer: Vellu legends entra Total scrap,neutral
Me with my lecturer: Sir velle my friends living legends ,neutral
Me trying to escape from college hostel,neutral
in childhood when my dad caught me while removing the barbie doll dress,angry
talking about me while playing pubg,heroism
enemy: evadra vadu okade vachi motham squad le lepesadu,heroism
me and my friends after bunking college,happy
That one friend: Na vallee problem ayithe cheppandi mowaa nenu ellipotha ,sad
Me: Ante adhii usshhhhhh!,heroism
Crush: Avnaa dani peru enti cheppu ,heroism
"Me with my crush: Naaku ee pakshulu janthuvulu ante chala istam, I am a nature guy",heroism
"Me: Endukante, meeru Bus ekki vasthaaru kadhara",neutral
"Me: Inko saari nannu Troll chesthey, meeru intiki Naduchukuni vellaleru",neutral
Me giving warning to my friends who trolling me: ,neutral
Style ga undhi kadha naakudaa nachindhiiii!,surprised
"Students: Maths Sir, meekamina mental haa, Pet Period lo Class cheptha antunnav",wonder
"Maths Sir: Picchi kaadhu raa, Syllabus complete avvali ",wonder
Mardhal: Idhigooo baava ee sweetlu kooda thinu,happy
Me: Inkennii thinamantav poyela unnaaaa!!,happy
"Me: Avunaa, Padha raa, Thank You",wonder
"My friend: Rey, ikkada mandhu baaledhu, Pakka Shop lo Quality baagundhi anta",wonder
Vamooo enti naake bhayamesindhi,fearful
When I suddenly open my front camera,fearful
My frnd after his breakup ,sad
adhi telisi unte nenu ikkada endhuku untanu ra ,disgust
sir ee match evaru gelustaru,disgust
overthinking introvert  me at mid night: okavela manam chanipothe na browser history evaru delete chestadu,neutral
My female friend in her pelli choopuluuu!!,heroism
"Nuvvu ""Huu anu"", Ikkada unna vallandarini 10 minutes lo lepeddham..!",heroism
ivi kuda marchipotha anuko ledu ,wonder
"my after forgetting that supply girl insta id be like:
cha deniyamma jeevitham ",wonder
kanisam answers gurthundav anukunna kani ,wonder
"Sir, naaku nijanga telidhu Sir, telisthey neney velli poyevadini kadha Sir...?!",fearful
When HOD asks me about my friends:,fearful
ha hospital bed midhe unna ra ,neutral
speaker on chesi doctor ki ivvandi ,neutral
mi car ki accident ayyindhi ,neutral
tatha garu hospital ki vellara ,neutral
"My frnd: Thappem ledhura mowaaa, ilane undali nee laaga unte brathakalem, naaa laane undali",confused
Me: Thappuraa mowaa ala mee papa ni mosam cheyakudadhu vere vallatho pulihora kalapakudadhu ,confused
vidiki ela telisindhi ra ,angry
era naku cheppakunda cinema ki pothara,angry
kurchovayya kurcho,angry
enti okkadanike arustunnaru ,angry
Frnd: Kachithanga vaade mowaa ivela pappu thindhi vaade,neutral
Me with my frnd: Rey nuvve kadha fart chesindhiii,neutral
kotha phone number vachinappudu roju motham pranks cheyadaniki saripothadi ra babu,happy
"Principle: Rey Nuvvu, complete cheyyaka pothey Parents, nannu Mingu thaaraa",neutral
"Teacher: Sir, Nenu Syllabus complete cheyyagalanaa!!",neutral
Me remembering what I have done last night after drinking  ,sad
Me: Evadra vaadu lepestha velli vadini,heroism
My friend: Rey mowa odhuraa vallu seniors raaa,heroism
My frnd: Rey mowa vadini esestharaaaaaa,heroism
Me trying to control my frnd: urko mowa manaki ndhuku cheppu ,heroism
attu vellandi miru kuda ,sad
"enti sir panti noppa, madhu ekkada undhi ",sad
naku kuda vachindhi lendi panti noppi,sad
atu vellu ra,sad
Nuv evadra na poriki line esedi,angry
Me: Kani nuvvu ituuu unnavga!,wonder
My crush in cls: Atuu chudu board atuu undhiii,wonder
Prakash Raj: He is a famous Lover,wonder
"Police: Sir, who is that guy, that you fight",wonder
Me with my dad: Chudu daddy mummy ela kottindhoo nannu,sad
Dad: Urko nanna urko mellaga naa laaga alavatu ayipoyidhi neeku kooda ,sad
"Project last lo, Inkevado kotha vaadini pattukocchi Pedathaaru",neutral
Mana Project Okadu Start chesthaadu,neutral
Vaadu Poyi madhyalo inkodu vacchi join avuthaadu,neutral
Me: Enti mee girlfriend ledhu ani nannu pilusthunava vellu thanathone vellu memem raamu,angry
My frnd today with me who went ouside with his girlfriend yesterday: Eraaa movie ki veldham raaa,angry
asalu vallu enduku vacharra ,happy
Me: Nenu intlo nunchi vellipotha,neutral
"When I got less marks, My dad: Tv connection peekinchestha",neutral
my friend going for drinking competition:,heroism
Malli naaa chethilone undhiraa meeku!,angry
Me waiting for the squad to respawn after recall,angry
Me: randiraaa mee kosame waiting,angry
"Ee paatiki, andharu Maths Genius ayye vaaru, That's what I am saying",angry
"When Maths teacher gets angry: Meeru PT class lo pettey shraddha, koddhiga Maths sums cheyydam lo pedithey",angry
after flirting with her whole night next day be like: rey itu rara,happy
nuv ra mundhu,happy
edi kada ra nenu chudali anukundi,happy
when that two friends getting along,happy
"when i came to know that, my friends are not single ",heroism
"yera ratleda, degree pass ayinantha easy kadu ra soda kotadam",surprised
nanna na soda nene kodta ,surprised
My situation after writing love letter to inspector wife,fearful
Me: Ilane cheppi nannu pushpam ni chey ,angry
My frnd: Neekenti  baava hero la untav aee ammayi ayina padipoyidhi,angry
Me scolding my friends infront of lecturer to get good name ,heroism
Me: Rey mowaa nannu nammara nee snacks nenu thinaledhura ,sad
My frnd: Rey rey natinchakuuu nuvvu ,sad
veedu kudu ni pulihora lo bagame ga ,sad
enti antha mandhi tho pulihora kaluputunnav,sad
Me and my friends wondering after the results how we passed the exam ,wonder
me: Job osthe adhe chesukunevadinigaaa,disgust
Grand mother1: Ennii rojulu ani intlo kurchuntav job cheskovachuga ,disgust
Grand mother 2: Naaku telusuraa nuvu deniki paniki raavu anii!,disgust
tesuku rakapothe vedini avidani iddarini teesedham,neutral
sir vidiki mundhemudho kuda kanapadadhu ,neutral
mavadu tesuku vastadu aa ammayini,neutral
ma friend gadi love story pado sari chep tunnappudu,disgust
scrap gallu motham ikkade unnaru ,neutral
evvarra mirantha ,neutral
mi clg lo chadive students sir ,neutral
My wish when no one is there in the office ,heroism
Open Plan-B,neutral
"When Invigilator, took my slips in exam. Then me and my friend",neutral
Indake biryani tinna annav ,confused
"nuvvu cheyyaledu ani telisindhi andhuke tintunna 
",confused
muddu pedatada,surprised
pettesadu,surprised
